gene_id	transcript_id	cds_length	exon_length	unspliced_length
ENSG00000141956	ENST00000269844	3621.0	4710	78318
ENSG00000141956	ENST00000398548	3423.0	6525	81120
ENSG00000141956	ENST00000422911	3483.0	6714	81249
ENSG00000141956	ENST00000441787	1434.0	6542	81249
ENSG00000141956	ENST00000447016	3423.0	4992	65078
ENSG00000141956	ENST00000449395	1554.0	6662	81249
ENSG00000141956	ENST00000491486	520.0	520	14328
ENSG00000141959	ENST00000349048	2340.0	2907	27321
ENSG00000141959	ENST00000397961	126.0	3390	27326
ENSG00000141959	ENST00000628044	126.0	129	4213
ENSG00000142149	ENST00000270112	2142.0	7680	131045
ENSG00000142149	ENST00000430354	486.0	486	43783
ENSG00000142149	ENST00000439107	336.0	860	69931
ENSG00000142156	ENST00000361866	3084.0	4203	23279
ENSG00000142156	ENST00000612273	1348.0	1531	3604
ENSG00000142156	ENST00000682634	1207.0	1390	3604
ENSG00000142166	ENST00000270139	1671.0	6075	34895
ENSG00000142166	ENST00000442071	1374.0	5672	34789
ENSG00000142166	ENST00000651609	201.0	5852	34751
ENSG00000142166	ENST00000652450	1464.0	6029	35342
ENSG00000142166	ENST00000652513	810.0	1437	24143
ENSG00000142166	ENST00000652601	708.0	1282	24103
ENSG00000142166	ENST00000652654	384.0	5916	34891
ENSG00000142166	ENST00000700046	234.0	5773	34769
ENSG00000142166	ENST00000700080	1464.0	6171	35344
ENSG00000142166	ENST00000700084	909.0	5669	35455
ENSG00000142166	ENST00000703514	681.0	5861	34796
ENSG00000142166	ENST00000703515	1671.0	3446	34343
ENSG00000142166	ENST00000703516	201.0	5463	34756
ENSG00000142166	ENST00000703556	1671.0	3484	34374
ENSG00000142166	ENST00000703557	1656.0	5374	34209
ENSG00000142166	ENST00000703561	1185.0	3355	34871
ENSG00000142166	ENST00000703562	552.0	6000	34796
ENSG00000142166	ENST00000703563	405.0	5941	34766
ENSG00000142166	ENST00000703564	201.0	5852	34751
ENSG00000142166	ENST00000703565	1143.0	2132	30931
ENSG00000142166	ENST00000703779	234.0	1280	24801
ENSG00000142168	ENST00000270142	462.0	895	9239
ENSG00000142168	ENST00000389995	405.0	865	9266
ENSG00000142173	ENST00000300527	3057.0	3445	34737
ENSG00000142173	ENST00000397763	2754.0	3156	31690
ENSG00000142173	ENST00000409416	2484.0	3367	18332
ENSG00000142173	ENST00000413758	750.0	750	5335
ENSG00000142173	ENST00000436769	541.0	919	13608
ENSG00000142178	ENST00000270162	2349.0	4747	12649
ENSG00000142178	ENST00000644750	461.0	529	5178
ENSG00000142182	ENST00000270172	1161.0	1706	15878
ENSG00000142182	ENST00000431166	864.0	1014	11073
ENSG00000142182	ENST00000628202	1158.0	1384	15559
ENSG00000142185	ENST00000300481	4347.0	5627	89394
ENSG00000142185	ENST00000300482	4509.0	5989	92919
ENSG00000142185	ENST00000397928	4509.0	5419	89024
ENSG00000142185	ENST00000397932	4659.0	5216	88671
ENSG00000142185	ENST00000431901	431.0	582	16458
ENSG00000142188	ENST00000420455	474.0	3062	47459
ENSG00000142188	ENST00000432504	244.0	619	13912
ENSG00000142188	ENST00000441128	132.0	634	18406
ENSG00000142188	ENST00000442441	453.0	982	29390
ENSG00000142188	ENST00000542230	474.0	2332	30834
ENSG00000142192	ENST00000346798	2310.0	3583	290221
ENSG00000142192	ENST00000348990	2085.0	3355	290218
ENSG00000142192	ENST00000354192	1917.0	3167	290198
ENSG00000142192	ENST00000357903	2253.0	3543	290238
ENSG00000142192	ENST00000358918	2256.0	2366	289058
ENSG00000142192	ENST00000359726	1980.0	3294	290578
ENSG00000142192	ENST00000415997	541.0	541	75843
ENSG00000142192	ENST00000439274	2142.0	2517	289323
ENSG00000142192	ENST00000440126	2238.0	2846	259130
ENSG00000142192	ENST00000448850	1453.0	1846	144538
ENSG00000142197	ENST00000399151	6894.0	7685	129740
ENSG00000142197	ENST00000685394	5334.0	7063	136940
ENSG00000142197	ENST00000691173	6894.0	7746	137451
ENSG00000142197	ENST00000693273	912.0	7053	137075
ENSG00000142207	ENST00000382751	6813.0	10818	81995
ENSG00000154639	ENST00000284878	1095.0	5593	57058
ENSG00000154639	ENST00000356275	267.0	270	52358
ENSG00000154639	ENST00000400165	600.0	603	52486
ENSG00000154639	ENST00000400166	756.0	1080	52807
ENSG00000154639	ENST00000400169	1056.0	1445	80450
ENSG00000154640	ENST00000339775	888.0	1485	19192
ENSG00000154640	ENST00000348354	756.0	1410	19249
ENSG00000154640	ENST00000457956	138.0	511	3939
ENSG00000154642	ENST00000284881	891.0	5396	30383
ENSG00000154642	ENST00000400558	663.0	1090	26140
ENSG00000154642	ENST00000400559	888.0	1593	26583
ENSG00000154642	ENST00000405964	727.0	896	23812
ENSG00000154645	ENST00000299295	819.0	2545	22538
ENSG00000154645	ENST00000338326	708.0	1974	10864
ENSG00000154645	ENST00000400127	696.0	2239	350034
ENSG00000154645	ENST00000400128	696.0	2421	366111
ENSG00000154645	ENST00000400131	708.0	2036	350034
ENSG00000154645	ENST00000400135	708.0	2136	350034
ENSG00000154645	ENST00000543733	762.0	1637	20963
ENSG00000154646	ENST00000284885	3057.0	4076	134670
ENSG00000154646	ENST00000422787	683.0	754	120740
ENSG00000154646	ENST00000474775	15.0	452	95491
ENSG00000154654	ENST00000284894	2457.0	4699	259620
ENSG00000154654	ENST00000400546	2511.0	8041	544921
ENSG00000154719	ENST00000307301	1059.0	1199	21862
ENSG00000154719	ENST00000352957	1014.0	1074	21826
ENSG00000154719	ENST00000419219	891.0	900	14673
ENSG00000154721	ENST00000312957	786.0	4209	78271
ENSG00000154721	ENST00000400532	936.0	1757	75302
ENSG00000154721	ENST00000460679	782.0	1025	24866
ENSG00000154721	ENST00000480456	894.0	4351	78305
ENSG00000154723	ENST00000284971	324.0	526	10405
ENSG00000154723	ENST00000400087	324.0	826	11167
ENSG00000154723	ENST00000400090	324.0	647	11160
ENSG00000154723	ENST00000400093	324.0	1179	11194
ENSG00000154723	ENST00000400094	324.0	589	10425
ENSG00000154723	ENST00000400099	357.0	492	18525
ENSG00000154723	ENST00000457143	348.0	589	10554
ENSG00000154727	ENST00000354828	1362.0	5120	37891
ENSG00000154727	ENST00000400075	1362.0	5226	37489
ENSG00000154734	ENST00000284984	2901.0	5183	9655
ENSG00000154734	ENST00000451462	2115.0	3541	7254
ENSG00000154734	ENST00000517777	2115.0	4180	7224
ENSG00000154734	ENST00000676955	2733.0	4975	9615
ENSG00000154734	ENST00000677958	1719.0	5105	9615
ENSG00000154734	ENST00000678221	2115.0	4042	7279
ENSG00000154734	ENST00000679152	2187.0	3502	7491
ENSG00000154736	ENST00000284987	2790.0	9621	49167
ENSG00000154736	ENST00000652031	592.0	3593	42995
ENSG00000155304	ENST00000285667	1413.0	3945	12032
ENSG00000155307	ENST00000285670	1323.0	2184	98174
ENSG00000155307	ENST00000400564	615.0	1382	61114
ENSG00000155307	ENST00000400566	1119.0	1860	61088
ENSG00000155307	ENST00000619120	912.0	2028	61132
ENSG00000155307	ENST00000647101	2007.0	2744	173594
ENSG00000155313	ENST00000285679	3165.0	3973	148887
ENSG00000155313	ENST00000285681	3261.0	5216	150034
ENSG00000155313	ENST00000351097	1350.0	2158	148887
